r,C00,C01,C02,C03,C04,C05,C06,C07,C08,C11,C12,C13,C14,C15,C16,C17,C18,C22,C23,C24,C25,C26,C27,C28,C33,C34,C35,C36,C37,C38,C44,C45,C46,C47,C48,C55,C56,C57,C58,C66,C67,C68,C77,C78,C88
0.349228,0.838354,2.55701e-07,-2.34326e-07,2.55701e-07,0.24913,6.21509e-08,-2.34326e-07,6.21509e-08,0.24913,0.37241,-2.04678e-09,0.37241,1.60601e-07,-5.00914e-08,-2.04678e-09,-5.00914e-08,3.38878e-08,0.37241,-4.24624e-09,1.18674e-07,-1.16554e-08,0.37241,-1.16554e-08,1.13767e-08,0.37241,1.60601e-07,-5.00914e-08,-2.04678e-09,-5.00914e-08,3.38878e-08,0.838354,-1.0678e-07,8.1344e-08,-1.0678e-07,0.24913,0.37241,1.32446e-07,0.37241,3.81222e-08,0.37241,-1.16554e-08,1.13767e-08,0.37241,3.81222e-08,0.838354
0.304009,0.544223,3.06881e-07,3.27764e-07,3.06881e-07,0.176266,-7.89343e-10,3.27764e-07,-7.89343e-10,0.176269,0.254055,-3.20571e-07,0.254055,-5.99411e-07,-1.46863e-08,-3.20571e-07,-1.46863e-08,-5.36779e-07,0.254055,-3.95834e-07,-2.09391e-07,-1.17474e-07,0.254055,-1.17474e-07,2.27379e-07,0.254055,-5.99411e-07,-1.46863e-08,-3.20571e-07,-1.46863e-08,-5.36779e-07,0.544222,-4.02371e-07,-2.63831e-07,-4.02371e-07,0.176268,0.254055,-1.73493e-07,0.254055,-1.66264e-07,0.254055,-1.17474e-07,2.27379e-07,0.254055,-1.66264e-07,0.544222
0.25879,0.364506,2.28021e-07,2.81052e-07,2.28021e-07,0.127648,-2.59338e-08,2.81052e-07,-2.59338e-08,0.127648,0.173534,-2.36077e-07,0.173534,-2.27371e-07,3.416e-07,-2.36077e-07,3.416e-07,3.59199e-07,0.173534,-1.53397e-07,-2.26947e-07,-4.37409e-07,0.173534,-4.37409e-07,1.90085e-07,0.173534,-2.27371e-07,3.416e-07,-2.36077e-07,3.416e-07,3.59199e-07,0.364506,-3.27475e-07,-3.2258e-07,-3.27475e-07,0.127648,0.173534,-2.36864e-07,0.173534,-1.64397e-07,0.173534,-4.37409e-07,1.90085e-07,0.173534,-1.64397e-07,0.364506
0.21357,0.210114,-2.85242e-07,-5.35644e-08,-2.85242e-07,0.080739,7.45891e-08,-5.35644e-08,7.45891e-08,0.0807374,0.0986728,-1.95728e-07,0.0986728,-1.06034e-07,5.0723e-07,-1.95728e-07,5.0723e-07,5.8536e-07,0.098673,4.07431e-07,-3.07211e-08,1.82675e-08,0.098673,1.82675e-08,1.57511e-07,0.0986728,-1.06034e-07,5.0723e-07,-1.95728e-07,5.0723e-07,5.8536e-07,0.210114,1.33756e-07,-3.85813e-08,1.33756e-07,0.0807389,0.0986725,2.0281e-07,0.0986725,1.69224e-07,0.098673,1.82675e-08,1.57511e-07,0.0986725,1.69224e-07,0.210114
0.168351,0.126402,-3.07036e-07,1.10879e-07,-3.07036e-07,0.054975,-5.19483e-08,1.10879e-07,-5.19483e-08,0.0549745,0.0616083,6.53022e-09,0.0616083,-1.70379e-07,3.10684e-07,6.53022e-09,3.10684e-07,1.40747e-07,0.0616087,1.28751e-08,-2.04413e-07,-6.70757e-08,0.0616087,-6.70757e-08,1.44832e-07,0.0616083,-1.70379e-07,3.10684e-07,6.53022e-09,3.10684e-07,1.40747e-07,0.126403,2.74514e-07,6.5894e-08,2.74514e-07,0.0549749,0.0616086,-3.59104e-08,0.0616086,5.66523e-07,0.0616087,-6.70757e-08,1.44832e-07,0.0616086,5.66523e-07,0.126403
0.123132,0.0519367,-1.059e-08,-2.12185e-07,-1.059e-08,0.0248186,1.04479e-07,-2.12185e-07,1.04479e-07,0.0248191,0.0253704,7.63374e-09,0.0253704,-1.53191e-07,6.79247e-08,7.63374e-09,6.79247e-08,-1.33168e-07,0.0253705,5.72067e-08,-2.69055e-07,-6.73889e-08,0.0253705,-6.73889e-08,1.96921e-08,0.0253704,-1.53191e-07,6.79247e-08,7.63374e-09,6.79247e-08,-1.33168e-07,0.0519366,8.93521e-08,7.00736e-08,8.93521e-08,0.0248187,0.0253705,-5.23859e-08,0.0253705,6.67189e-08,0.0253705,-6.73889e-08,1.96921e-08,0.0253705,6.67189e-08,0.0519366
0.427913,1.16528,3.13303e-08,1.41409e-08,3.13303e-08,0.332106,-2.98626e-08,1.41409e-08,-2.98626e-08,0.332106,0.498916,-2.01434e-08,0.498916,2.26234e-08,5.45922e-08,-2.01434e-08,5.45922e-08,3.697e-08,0.498915,-4.63619e-08,-7.45354e-08,-1.40605e-08,0.498915,-1.40605e-08,2.93335e-09,0.498916,2.26234e-08,5.45922e-08,-2.01434e-08,5.45922e-08,3.697e-08,1.16528,1.37335e-07,-1.21953e-08,1.37335e-07,0.332107,0.498915,-2.47158e-08,0.498915,5.6783e-08,0.498915,-1.40605e-08,2.93335e-09,0.498915,5.6783e-08,1.16528
0.382694,0.989919,2.12686e-07,-9.82704e-08,2.12686e-07,0.285764,-1.63464e-09,-9.82704e-08,-1.63464e-09,0.285765,0.430522,-7.05608e-08,0.430522,1.42295e-07,-1.53133e-08,-7.05608e-08,-1.53133e-08,8.51035e-08,0.430522,-1.027e-07,-4.51747e-08,-3.97938e-09,0.430522,-3.97938e-09,-3.69857e-09,0.430522,1.42295e-07,-1.53133e-08,-7.05608e-08,-1.53133e-08,8.51035e-08,0.989919,-2.10244e-08,6.79487e-08,-2.10244e-08,0.285765,0.430522,2.20211e-08,0.430522,1.82189e-07,0.430522,-3.97938e-09,-3.69857e-09,0.430522,1.82189e-07,0.989919
0.337475,0.736144,1.59553e-07,-4.72598e-08,1.59553e-07,0.221211,4.44328e-09,-4.72598e-08,4.44328e-09,0.221212,0.330971,1.29953e-08,0.330971,5.17781e-08,-7.49223e-08,1.29953e-08,-7.49223e-08,-3.92548e-07,0.330971,1.82457e-09,2.04569e-07,5.79699e-08,0.330971,5.79699e-08,8.11887e-09,0.330971,5.17781e-08,-7.49223e-08,1.29953e-08,-7.49223e-08,-3.92548e-07,0.736144,-3.54283e-07,-4.38045e-08,-3.54283e-07,0.221211,0.330971,7.64692e-09,0.330971,-2.8744e-07,0.330971,5.79699e-08,8.11887e-09,0.330971,-2.8744e-07,0.736144
0.292255,0.517335,3.39085e-07,2.92425e-07,3.39085e-07,0.167623,-6.46621e-08,2.92425e-07,-6.46621e-08,0.167624,0.241304,-3.70913e-07,0.241304,-2.70268e-07,1.36286e-08,-3.70913e-07,1.36286e-08,-6.59171e-07,0.241304,-4.76944e-07,-3.32628e-07,-1.28953e-07,0.241304,-1.28953e-07,2.89698e-07,0.241304,-2.70268e-07,1.36286e-08,-3.70913e-07,1.36286e-08,-6.59171e-07,0.517334,-4.54062e-07,-2.87388e-07,-4.54062e-07,0.167624,0.241304,-2.75106e-07,0.241304,-2.22659e-07,0.241304,-1.28953e-07,2.89698e-07,0.241304,-2.22659e-07,0.517335
0.247036,0.336971,3.72092e-07,3.80641e-07,3.72092e-07,0.118807,1.94136e-07,3.80641e-07,1.94136e-07,0.118806,0.159174,-1.6464e-07,0.159174,-1.98629e-07,3.08147e-07,-1.6464e-07,3.08147e-07,2.5428e-07,0.159174,-1.56798e-07,-1.79653e-07,-3.20525e-07,0.159174,-3.20525e-07,1.88433e-07,0.159174,-1.98629e-07,3.08147e-07,-1.6464e-07,3.08147e-07,2.5428e-07,0.336971,-1.38995e-07,-2.95408e-07,-1.38995e-07,0.118807,0.159175,-1.34745e-08,0.159175,-1.89573e-07,0.159174,-3.20525e-07,1.88433e-07,0.159175,-1.89573e-07,0.336972
0.201817,0.187535,-5.77438e-07,-2.44391e-07,-5.77438e-07,0.0733647,1.70475e-07,-2.44391e-07,1.70475e-07,0.0733632,0.0873752,-1.08431e-07,0.0873752,-1.23269e-07,4.74594e-07,-1.08431e-07,4.74594e-07,5.03632e-07,0.0873755,4.91494e-07,2.64182e-07,1.26099e-07,0.0873755,1.26099e-07,-4.9764e-09,0.0873752,-1.23269e-07,4.74594e-07,-1.08431e-07,4.74594e-07,5.03632e-07,0.187535,2.53064e-07,2.97986e-07,2.53064e-07,0.0733641,0.0873754,5.97345e-08,0.0873754,3.53554e-07,0.0873755,1.26099e-07,-4.9764e-09,0.0873754,3.53554e-07,0.187535
0.156598,0.0918008,-2.84429e-07,-9.07326e-08,-2.84429e-07,0.041319,1.82388e-08,-9.07326e-08,1.82388e-08,0.0413195,0.044073,2.96407e-07,0.044073,-1.35435e-07,2.25846e-07,2.96407e-07,2.25846e-07,-4.56919e-07,0.0440732,2.39609e-07,1.85313e-08,-2.04935e-07,0.0440732,-2.04935e-07,5.99149e-08,0.044073,-1.35435e-07,2.25846e-07,2.96407e-07,2.25846e-07,-4.56919e-07,0.091802,6.29211e-08,-3.12901e-08,6.29211e-08,0.0413192,0.0440732,-1.60724e-07,0.0440732,2.3817e-07,0.0440732,-2.04935e-07,5.99149e-08,0.0440732,2.3817e-07,0.0918022
0.111379,0.0519367,-1.059e-08,-2.12185e-07,-1.059e-08,0.0248186,1.04479e-07,-2.12185e-07,1.04479e-07,0.0248191,0.0253704,7.63374e-09,0.0253704,-1.53191e-07,6.79247e-08,7.63374e-09,6.79247e-08,-1.33168e-07,0.0253705,5.72067e-08,-2.69055e-07,-6.73889e-08,0.0253705,-6.73889e-08,1.96921e-08,0.0253704,-1.53191e-07,6.79247e-08,7.63374e-09,6.79247e-08,-1.33168e-07,0.0519366,8.93521e-08,7.00736e-08,8.93521e-08,0.0248187,0.0253705,-5.23859e-08,0.0253705,6.67189e-08,0.0253705,-6.73889e-08,1.96921e-08,0.0253705,6.67189e-08,0.0519366
