rx, ry, theta,c11, c12, c13, c14, c22, c23, c24, c33, c34, c44
0.331531,0.184436,1.23539,0.628535,0.0518557,0.0518557,0.239936,0.189679,0.189679,0.0537011,0.189679,0.0537011,0.841096
0.273392,0.0515021,0.824751,0.958182,0.108143,0.108143,0.34739,0.312477,0.312477,0.109165,0.312477,0.109165,0.98778
0.215253,0.368568,0.414111,0.533117,-0.0612897,-0.0612897,0.19031,0.151374,0.151374,-0.0603569,0.151374,-0.0603569,0.72805
0.157114,0.235633,0.00347028,0.852355,-0.00152328,-0.00152328,0.347365,0.25716,0.25716,-0.0011837,0.25716,-0.0011837,1.00211
0.0989751,0.102699,1.16283,1.21778,-0.000575907,-0.000575907,0.505505,0.348828,0.348828,-0.00158781,0.348828,-0.00158781,1.20722
0.0408361,0.419765,0.752189,0.706748,-0.177128,-0.177128,0.225593,0.285128,0.285128,-0.179235,0.285128,-0.179235,0.767721
0.432697,0.286831,0.341549,0.545468,0.0343188,0.0343188,0.101925,0.0703159,0.0703159,0.0437168,0.0703159,0.0437168,0.325583
0.374558,0.153896,1.50091,0.500609,0.0205628,0.0205628,0.206421,0.166856,0.166856,0.0195033,0.166856,0.0195033,0.910228
0.316419,0.020962,1.09027,0.817461,0.100891,0.100891,0.317166,0.31365,0.31365,0.115557,0.31365,0.115557,1.08335
0.25828,0.338028,0.679627,0.596876,-0.0420794,-0.0420794,0.185582,0.137757,0.137757,-0.0417308,0.137757,-0.0417308,0.627101
0.200141,0.205093,0.268987,0.908217,-0.000425473,-0.000425473,0.342754,0.25022,0.25022,-0.000802677,0.25022,-0.000802677,0.913252
0.142002,0.0721592,1.42835,1.13962,0.00495571,0.00495571,0.48966,0.345128,0.345128,0.00646483,0.345128,0.00646483,1.23498
0.0838634,0.389225,1.01771,0.872417,-0.149273,-0.149273,0.229891,0.25173,0.25173,-0.135742,0.25173,-0.135742,0.620989
0.0257244,0.256291,0.607066,0.982418,-0.0884379,-0.0884379,0.380446,0.331907,0.331907,-0.0930756,0.331907,-0.0930756,1.10541
0.417585,0.123356,0.196425,0.931363,0.0719304,0.0719304,0.174595,0.170987,0.170987,0.0713427,0.170987,0.0713427,0.414529
0.359447,0.440422,1.35578,0.409788,-0.00830361,-0.00830361,0.0605066,0.0327165,0.0327165,-0.0117535,0.0327165,-0.0117535,0.260052
0.301308,0.307488,0.945144,0.606516,-0.00251824,-0.00251824,0.178266,0.12532,0.12532,-0.00286897,0.12532,-0.00286897,0.596394
0.243169,0.174553,0.534504,0.925803,0.0343902,0.0343902,0.328896,0.245493,0.245493,0.0349325,0.245493,0.0349325,0.854789
0.18503,0.0416191,0.123863,1.25368,0.0162134,0.0162134,0.45275,0.341334,0.341334,0.0153908,0.341334,0.0153908,1.04117
0.126891,0.358685,1.28322,0.944301,-0.0782832,-0.0782832,0.23531,0.2102,0.2102,-0.073252,0.2102,-0.073252,0.574045
0.0687517,0.225751,0.872582,1.06375,-0.0776612,-0.0776612,0.397979,0.317445,0.317445,-0.0745494,0.317445,-0.0745494,1.0266
0.0106127,0.0928162,0.461942,1.32132,-0.00212428,-0.00212428,0.566667,0.381355,0.381355,-0.00251563,0.381355,-0.00251563,1.33504
0.402474,0.409882,0.0513014,0.316566,-3.00659e-09,-3.00659e-09,0.0575699,0.0323199,0.0323199,3.77656e-08,0.0323199,3.77656e-08,0.324758
0.344335,0.276948,1.21066,0.530997,0.0237212,0.0237212,0.167509,0.119136,0.119136,0.0222034,0.119136,0.0222034,0.632765
0.286196,0.144013,0.80002,0.84714,0.0799922,0.0799922,0.306682,0.248288,0.248288,0.0794397,0.248288,0.0794397,0.864343
0.228057,0.0110791,0.38938,1.25486,0.039292,0.039292,0.46273,0.355061,0.355061,0.0335395,0.355061,0.0335395,1.09135
0.169918,0.328145,1.54874,0.905416,-0.00347978,-0.00347978,0.246075,0.190566,0.190566,-0.00295492,0.190566,-0.00295492,0.608448
0.111779,0.19521,1.1381,1.11004,-0.0326756,-0.0326756,0.418165,0.307237,0.307237,-0.0320657,0.307237,-0.0320657,1.00647
0.05364,0.0622762,0.727459,1.29447,-0.00254239,-0.00254239,0.550857,0.372831,0.372831,-0.00254238,0.372831,-0.00254238,1.29447
