w,c11, c12, c13, c14, c22, c23, c24, c33, c34, c44
0.628223,0.453788,2.10608e-10,2.10608e-10,0.0886632,0.0430842,0.0430842,-5.81106e-08,0.0430842,-5.81106e-08,0.453788
0.511945,0.638751,-4.47507e-09,-4.47507e-09,0.169399,0.109063,0.109063,-2.14348e-07,0.109063,-2.14348e-07,0.638751
0.395667,0.797548,-1.64692e-09,-1.64692e-09,0.252906,0.1792,0.1792,-2.64054e-08,0.1792,-2.64054e-08,0.797548
0.279389,1.02789,-7.60849e-09,-7.60849e-09,0.386189,0.277407,0.277407,2.16499e-08,0.277407,2.16499e-08,1.02789
0.163111,1.23418,7.65437e-10,7.65437e-10,0.509949,0.351046,0.351046,8.84729e-09,0.351046,8.84729e-09,1.23418
0.0468333,1.34204,2.51499e-10,2.51499e-10,0.574485,0.383542,0.383542,3.73403e-10,0.383542,3.73403e-10,1.34204
0.830555,0.17737,-6.66139e-11,-6.6614e-11,0.0141584,0.0025511,0.0025511,-3.98652e-08,0.0025511,-3.98652e-08,0.17737
0.714277,0.329812,3.47073e-09,3.47073e-09,0.0477994,0.0166564,0.0166564,1.41728e-08,0.0166564,1.41728e-08,0.329812
0.598,0.497565,-1.43887e-09,-1.43887e-09,0.105772,0.0560941,0.0560941,2.25243e-08,0.0560941,2.25243e-08,0.497565
0.481722,0.689674,-5.42387e-09,-5.42387e-09,0.195049,0.13099,0.13099,1.16879e-08,0.13099,1.16879e-08,0.689674
0.365444,0.854093,-8.31499e-10,-8.315e-10,0.284689,0.204414,0.204414,-3.70942e-08,0.204414,-3.70942e-08,0.854093
0.249166,1.08443,-5.3858e-10,-5.3858e-10,0.41994,0.299092,0.299092,1.98998e-09,0.299092,1.98998e-09,1.08443
0.132888,1.27328,6.61267e-10,6.61267e-10,0.533447,0.363308,0.363308,4.70403e-09,0.363308,4.70403e-09,1.27328
0.0166099,1.34204,2.51499e-10,2.51499e-10,0.574485,0.383542,0.383542,3.73403e-10,0.383542,3.73403e-10,1.34204
0.800332,0.214374,2.40042e-09,2.40042e-09,0.0205545,0.00451029,0.00451029,-2.26257e-08,0.00451029,-2.26257e-08,0.214374
0.684054,0.370052,-2.10751e-09,-2.10751e-09,0.0597924,0.0235639,0.0235639,-4.39555e-08,0.0235639,-4.39555e-08,0.370052
0.567776,0.542853,-3.23284e-09,-3.23284e-09,0.124843,0.0714388,0.0714388,1.60106e-10,0.0714388,1.60106e-10,0.542853
0.451498,0.742646,-1.91757e-09,-1.91757e-09,0.222934,0.154534,0.154534,3.9253e-08,0.154534,3.9253e-08,0.742646
0.33522,0.911803,-8.62154e-09,-8.62154e-09,0.317872,0.229571,0.229571,-1.06906e-07,0.229571,-1.06906e-07,0.911803
0.218942,1.13848,4.52992e-09,4.52992e-09,0.452375,0.318767,0.318767,-6.90152e-09,0.318767,-6.90152e-09,1.13848
0.102664,1.30493,3.18508e-10,3.18507e-10,0.55242,0.372848,0.372848,7.50975e-10,0.372848,7.50975e-10,1.30493
0.886387,0.140975,2.2616e-09,2.2616e-09,0.00900997,0.0012927,0.0012927,-1.45504e-08,0.0012927,-1.45504e-08,0.140975
